,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
totalStockholdersEquity,44704000000,30189000000,22225000000,6618000000,4923243000,4237242000,4752911000,1088944000,911710000,667120000,124700000,224045000,207048000,-253523000,-199714000,-117846000
totalEquity,44704000000,30189000000,22225000000,6618000000,4923243000,4237242000,4752911000,1088944000,911710000,667120000,124700000,224045000,207048000,-253523000,-199714000,-117846000
totalLiabilitiesAndStockholdersEquity,81929000000,60737000000,50694000000,32817000000,28349253000,27260292000,21511862000,8092460000,5849251000,2416930000,1114190000,713448000,386082000,130424000,51699000,34837000
minorityInterest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalLiabilitiesAndTotalEquity,81929000000,60737000000,50694000000,32817000000,28349253000,27260292000,21511862000,8092460000,5849251000,2416930000,1114190000,713448000,386082000,130424000,51699000,34837000
totalInvestments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalDebt,3099000000,8873000000,13279000000,14697000000,13827271000,12115948000,8588115000,2715586000,2509109000,606878000,466666000,280148000,72603000,1090000,55757000,98000
netDebt,-13154000000,-8703000000,-6105000000,8429000000,10141653000,8748034000,5194899000,1518678000,603396000,-239011000,264776000,24882000,-26955000,-68537000,46480000,-17113000
link,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/0001564590-15-001031-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/0001193125-14-069681-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/0001193125-13-096241-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/0001193125-12-081990-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312511054847/0001193125-11-054847-index.htm,,,
finalLink,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/tsla-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/tsla-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/tsla-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/d668062d10k.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/d452995d10k.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/d279413d10k.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312511054847/d10k.htm,,,
